CP	Nom	Population	Categorie
02200	Venizel	1345	3
02200	Billy-sur-Aisne	1102	3
02200	Pasly	1031	3
02200	Acy	989	3
02200	Mercin-et-Vaux	943	3
02200	Vauxbuin	770	3
02200	Pernant	704	3
02200	Pommiers	626	3
02200	Septmonts	587	3
02210	Coincy	1312	3
02210	Oulchy-le-Château	827	3
02220	Braine	2196	3
02220	Ciry-Salsogne	878	3
02220	Mont-Notre-Dame	697	3
02230	Fresnoy-le-Grand	3087	3
02240	Ribemont	1961	3
02240	Itancourt	1102	3
02240	Séry-lès-Mézières	637	3
02240	Mézières-sur-Oise	540	3
02240	Alaincourt	511	3
02250	Marle	2375	3
02250	Tavaux-et-Pontséricourt	606	3
02260	La Flamengrie	1120	3
02260	Clairfontaine	571	3
02270	Crécy-sur-Serre	1464	3
02270	Couvron-et-Aumencourt	1324	3
02270	La Ferté-Chevresis	591	3
02270	Nouvion-et-Catillon	535	3
02270	Pouilly-sur-Serre	515	3
02290	Vic-sur-Aisne	1755	3
02290	Ambleny	1135	3
02290	Ressons-le-Long	768	3
02290	Montigny-Lengrain	677	3
02290	Berny-Rivière	622	3
02300	Chauny	11771	2
02300	Sinceny	2134	3
02300	Viry-Noureuil	1802	3
02300	Blérancourt	1245	3
02300	Bichancourt	1053	3
02300	Autreville	824	3
02300	Villequier-Aumont	634	3
02300	Trosly-Loire	596	3
02300	Caumont	570	3
02300	Abbécourt	536	3
02310	Nogent-l'Artaud	2129	3
02310	Montreuil-aux-Lions	1396	3
02310	Pavant	806	3
02310	Domptin	670	3
02310	Saulchery	652	3
02320	Anizy-le-Château	1912	3
02320	Pinon	1810	3
02320	Prémontré	772	3
02320	Brancourt-en-Laonnois	692	3
02320	Vauxaillon	509	3
02330	Condé-en-Brie	659	3
02340	Dizy-le-Gros	789	3
02340	Chaourse	525	3
02350	Gizy	681	3
02360	Rozoy-sur-Serre	1021	3
02360	Brunehamel	530	3
02370	Vailly-sur-Aisne	2073	3
02370	Chassemy	807	3
02390	Mont-d'Origny	868	3
02390	Thenelles	561	3
02400	Château-Thierry	14413	2
02400	Essômes-sur-Marne	2735	3
02400	Brasles	1355	3
02400	Nesles-la-Montagne	1228	3
02400	Étampes-sur-Marne	1153	3
02400	Chierry	1048	3
02400	Nogentel	1012	3
02400	Bézu-Saint-Germain	977	3
02400	Mont-Saint-Père	692	3
02400	Épaux-Bézu	584	3
02410	Saint-Gobain	2325	3
02420	Nauroy	703	3
02420	Bellicourt	635	3
02420	Levergies	581	3
02420	Vendhuile	532	3
02430	Gauchy	5406	3
02440	Clastres	615	3
02450	Boué	1276	3
02460	La Ferté-Milon	2210	3
02470	Neuilly-Saint-Front	2166	3
02480	Jussy	1236	3
02480	Cugny	578	3
02490	Vermand	1047	3
02500	Hirson	9365	3
02500	Mondrepuis	1003	3
02500	Buire	882	3
02500	Aubenton	695	3
02500	Neuve-Maison	604	3
02520	Flavy-le-Martel	1628	3
02540	Viels-Maisons	1063	3
02550	Origny-en-Thiérache	1562	3
02570	Chézy-sur-Marne	1320	3
02580	Étréaupont	916	3
02590	Étreillers	1204	3
02590	Savy	602	3
02600	Villers-Cotterêts	10411	2
02600	Haramont	603	3
02620	Buironfosse	1189	3
02630	Wassigny	971	3
02630	Mennevret	654	3
02640	Saint-Simon	615	3
02650	Crézancy	1125	3
02650	Fossoy	571	3
02650	Mézy-Moulins	529	3
02670	Folembray	1466	3
02680	Grugies	1149	3
02690	Essigny-le-Grand	1097	3
02690	Urvillers	613	3
02700	Tergnier	14135	2
02700	Frières-Faillouël	999	3
02700	Amigny-Rouy	739	3
02700	Condren	711	3
02720	Homblières	1499	3
02760	Holnon	1424	3
02800	La Fère	3054	3
02800	Beautor	2658	3
02800	Charmes	1651	3
02800	Vendeuil	916	3
02800	Travecy	658	3
02800	Achery	608	3
02800	Danizy	580	3
02810	Gandelu	679	3
02820	Saint-Erme-Outre-et-Ramecourt	1844	3
02820	Montaigu	749	3
02820	Corbeny	746	3
02830	Saint-Michel	3548	3
02840	Athies-sous-Laon	2631	3
02840	Festieux	640	3
02840	Coucy-lès-Eppes	587	3
02850	Jaulgonne	663	3
02860	Bruyères-et-Montbérault	1572	3
02870	Vivaise	765	3
02880	Crouy	2708	3
02880	Bucy-le-Long	1940	3
02880	Cuffies	1739	3
02880	Missy-sur-Aisne	682	3
02880	Chivres-Val	584	3
03000	Moulins	19094	2
03000	Avermes	3794	3
03000	Neuvy	1510	3
03000	Coulandon	700	3
03000	Montilly	546	3
03100	Montluçon	38166	2
03110	Vendat	2242	3
03110	Saint-Rémy-en-Rollat	1622	3
03110	Broût-Vernet	1185	3
03110	Espinasse-Vozelle	918	3
03110	Charmeil	768	3
03110	Serbannes	751	3
03110	Escurolles	736	3
03110	Cognat-Lyonne	676	3
03110	Saint-Pont	591	3
03120	Lapalisse	3138	3
03120	Saint-Prix	786	3
03120	Le Breuil	541	3
03120	Isserpent	505	3
03130	Le Donjon	1085	3
03140	Chantelle	1074	3
03140	Étroussat	724	3
03150	Varennes-sur-Allier	3574	3
03150	Saint-Gérand-le-Puy	1005	3
03150	Montoldre	638	3
03150	Rongères	585	3
03150	Saint-Loup	557	3
03150	Boucé	548	3
03160	Bourbon-l'Archambault	2558	3
03160	Ygrande	777	3
03170	Doyet	1228	3
03170	Chamblet	1082	3
03170	Bézenet	990	3
03170	Montvicq	735	3
03190	Vallon-en-Sully	1656	3
03190	Estivareilles	1131	3
03190	Vaux	1072	3
03190	Hérisson	634	3
03190	Verneix	612	3
03200	Vichy	24992	2
03200	Abrest	2758	3
03210	Souvigny	1991	3
03210	Saint-Menoux	1063	3
03210	Besson	787	3
03210	Noyant-d'Allier	684	3
03210	Chemilly	631	3
03220	Saint-Léon	608	3
03220	Vaumas	546	3
03230	Lusigny	1707	3
03230	Beaulon	1638	3
03230	Thiel-sur-Acolin	1012	3
03230	Garnat-sur-Engièvre	703	3
03230	Chevagnes	691	3
03240	Tronget	929	3
03240	Cressanges	671	3
03240	Le Montet	509	3
03250	Le Mayet-de-Montagne	1590	3
03250	Ferrières-sur-Sichon	565	3
03260	Saint-Germain-des-Fossés	3697	3
03260	Magnet	894	3
03260	Billy	835	3
03270	Saint-Yorre	2773	3
03270	Hauterive	1167	3
03270	Busset	817	3
03270	Mariol	762	3
03290	Dompierre-sur-Besbre	3119	3
03290	Diou	1491	3
03300	Cusset	13525	2
03300	Creuzier-le-Vieux	3334	3
03300	Creuzier-le-Neuf	1051	3
03300	Molles	834	3
03300	Saint-Étienne-de-Vicq	522	3
03310	Néris-les-Bains	2628	3
03310	Durdat-Larequille	1288	3
03310	Villebret	1283	3
03310	Lavault-Sainte-Anne	1203	3
03320	Lurcy-Lévis	2089	3
03320	Couleuvre	589	3
03330	Bellenaves	1013	3
03340	Neuilly-le-Réal	1443	3
03340	Bessay-sur-Allier	1374	3
03340	Montbeugny	685	3
03350	Cérilly	1338	3
03360	Ainay-le-Château	1036	3
03360	Meaulne	768	3
03380	Huriel	2609	3
03380	Quinssaines	1382	3
03380	La Chapelaude	977	3
03380	Saint-Martinien	624	3
03390	Montmarault	1510	3
03400	Yzeure	12990	2
03400	Toulon-sur-Allier	1146	3
03400	Saint-Ennemond	651	3
03410	Domérat	9027	3
03410	Prémilhat	2346	3
03410	Lignerolles	732	3
03420	Marcillat-en-Combraille	898	3
03430	Cosne-d'Allier	2198	3
03430	Villefranche-d'Allier	1324	3
03440	Buxières-les-Mines	1060	3
03450	Ébreuil	1279	3
03460	Trévol	1654	3
03460	Villeneuve-sur-Allier	1004	3
03470	Saligny-sur-Roudon	750	3
03470	Pierrefitte-sur-Loire	511	3
03500	Saint-Pourçain-sur-Sioule	4944	3
03500	Bayet	674	3
03500	Saulcet	634	3
03500	Contigny	614	3
03500	Châtel-de-Neuvre	551	3
03500	Monétay-sur-Allier	531	3
03510	Molinet	1165	3
03510	Chassenard	974	3
03600	Commentry	6580	3
03600	Malicorne	828	3
03630	Désertines	4290	3
03700	Bellerive-sur-Allier	8530	3
03700	Brugheas	1377	3
03800	Gannat	5806	3
03800	Biozat	754	3
03800	Saint-Bonnet-de-Rochefort	643	3
03800	Jenzat	520	3
04000	Digne-les-Bains	16886	2
04100	Manosque	22316	2
04110	Reillanne	1542	3
04120	Castellane	1565	3
04130	Volx	3080	3
04140	Seyne	1446	3
04150	Banon	1061	3
04150	Simiane-la-Rotonde	593	3
04150	Revest-du-Bion	582	3
04160	L'Escale	1330	3
04170	Saint-André-les-Alpes	915	3
04180	Villeneuve	3529	3
04190	Les Mées	3589	3
04200	Sisteron	7408	3
04200	Peipin	1412	3
04200	Mison	1021	3
04200	Aubignosc	555	3
04210	Valensole	3247	3
04220	Sainte-Tulle	3337	3
04220	Corbières	1014	3
04230	Saint-Étienne-les-Orgues	1219	3
04230	Cruis	626	3
04240	Annot	1070	3
04250	La Motte-du-Caire	527	3
04260	Allos	669	3
04270	Mézel	700	3
04270	Bras-d'Asse	546	3
04280	Céreste	1267	3
04290	Volonne	1678	3
04290	Salignac	572	3
04300	Forcalquier	4707	3
04300	Mane	1380	3
04300	Saint-Maime	823	3
04300	Dauphin	804	3
04300	Pierrerue	535	3
04310	Peyruis	2749	3
04320	Entrevaux	960	3
04350	Malijai	1959	3
04360	Moustiers-Sainte-Marie	698	3
04380	Thoard	735	3
04400	Barcelonnette	2667	3
04410	Puimoisson	762	3
04420	Le Brusquet	963	3
04420	Marcoux	517	3
04500	Riez	1811	3
04500	Roumoules	699	3
04510	Aiglun	1314	3
04510	Mallemoisson	1006	3
04510	Mirabeau	500	3
04550	Allemagne-en-Provence	522	3
04660	Champtercier	783	3
04700	Oraison	5484	3
04700	La Brillanne	986	3
04800	Gréoux-les-Bains	2581	3
04800	Saint-Martin-de-Brômes	543	3
04850	Jausiers	1135	3
04860	Pierrevert	3692	3
04870	Saint-Michel-l'Observatoire	1179	3
05000	Gap	40654	2
05000	Neffes	750	3
05000	Pelleautier	625	3
05000	La Freissinouse	587	3
05100	Briançon	11876	2
05100	Villar-Saint-Pancrace	1459	3
05100	Val-des-Prés	536	3
05100	Montgenèvre	521	3
05100	Puy-Saint-Pierre	506	3
05110	La Saulce	1311	3
05120	L'Argentière-la-Bessée	2322	3
05130	Tallard	2001	3
05140	Aspres-sur-Buëch	826	3
05150	Rosans	512	3
05170	Orcières	722	3
05190	Espinasses	685	3
05200	Embrun	6155	3
05200	Saint-André-d'Embrun	628	3
05200	Les Orres	508	3
05200	Baratier	503	3
05220	Le Monêtier-les-Bains	1023	3
05230	Chorges	2654	3
05230	La Bâtie-Neuve	2431	3
05260	Saint-Jean-Saint-Nicolas	1005	3
05260	Ancelle	870	3
05260	Chabottes	770	3
05290	Vallouise	752	3
05300	Ribiers	798	3
05300	Le Poët	720	3
05300	Ventavon	505	3
05310	La Roche-de-Rame	847	3
05330	Saint-Chaffrey	1674	3
05400	Veynes	3187	3
05400	La Roche-des-Arnauds	1423	3
05400	Montmaur	530	3
05500	Saint-Laurent-du-Cros	513	3
05560	Vars	708	3
05600	Guillestre	2332	3
05600	Risoul	655	3
